Sector_LB,Sector_UB,Sigma_Max,ESG_Min,L_Min,Optimization_Successful,Message,Optimal_Weights,Portfolio_Return,Portfolio_Risk,Sharpe_Ratio
0.1,0.4,0.060000000000000005,35,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,35,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,35,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,35,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,35,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,50,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,50,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,50,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,50,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,50,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,50,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,65,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,65,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,65,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,65,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,65,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,65,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,80,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,80,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,80,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,80,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,80,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.060000000000000005,80,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.4,0.11,35,40000,True,,"[1.00000000e-01 1.42898122e-01 1.18190333e-01 1.86728930e-01
 1.29042179e-01 1.61705044e-01 2.33453078e-17 1.03378832e-01
 5.80565603e-02 2.25345304e-17]",0.1272968386742173,0.10942999224746308,1.1610561766765035
0.1,0.4,0.11,35,120000,True,,"[1.00000000e-01 1.42898122e-01 1.18190333e-01 1.86728930e-01
 1.29042179e-01 1.61705044e-01 2.33453078e-17 1.03378832e-01
 5.80565603e-02 2.25345304e-17]",0.1272968386742173,0.10942999224746308,1.1610561766765035
0.1,0.4,0.11,35,200000,True,,"[1.00000000e-01 1.42898122e-01 1.18190333e-01 1.86728930e-01
 1.29042179e-01 1.61705044e-01 2.33453078e-17 1.03378832e-01
 5.80565603e-02 2.25345304e-17]",0.1272968386742173,0.10942999224746308,1.1610561766765035
0.1,0.4,0.11,35,280000,True,,"[1.00000000e-01 1.42898122e-01 1.18190333e-01 1.86728930e-01
 1.29042179e-01 1.61705044e-01 2.33453078e-17 1.03378832e-01
 5.80565603e-02 2.25345304e-17]",0.1272968386742173,0.10942999224746308,1.1610561766765035
0.1,0.4,0.11,35,360000,True,,"[1.00000000e-01 1.42898122e-01 1.18190333e-01 1.86728930e-01
 1.29042179e-01 1.61705044e-01 2.33453078e-17 1.03378832e-01
 5.80565603e-02 2.25345304e-17]",0.1272968386742173,0.10942999224746308,1.1610561766765035
0.1,0.4,0.11,35,440000,True,,"[1.00000000e-01 1.42898122e-01 1.18190333e-01 1.86728930e-01
 1.29042179e-01 1.61705044e-01 2.33453078e-17 1.03378832e-01
 5.80565603e-02 2.25345304e-17]",0.1272968386742173,0.10942999224746308,1.1610561766765035
0.1,0.4,0.11,50,40000,True,,"[1.00000000e-01 1.42801751e-01 1.18178256e-01 1.86751846e-01
 1.28932959e-01 1.61676800e-01 6.40095974e-17 1.03608331e-01
 5.80500574e-02 1.16298669e-17]",0.12729785421029668,0.10943088750609786,1.16105595818711
0.1,0.4,0.11,50,120000,True,,"[1.00000000e-01 1.42801751e-01 1.18178256e-01 1.86751846e-01
 1.28932959e-01 1.61676800e-01 6.40095974e-17 1.03608331e-01
 5.80500574e-02 1.16298669e-17]",0.12729785421029668,0.10943088750609786,1.16105595818711
